name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_alps,airport_confidence_pct,airport_error,airport_nearest_iata,airport_nearest_icao,airport_nearest_latitude,airport_nearest_longitude,airport_nearest_name,airport_reasoning,driving_confidence_pct,driving_error,driving_km_to_airport,driving_km_to_hospital,driving_reasoning,driving_time_minutes_to_airport,driving_time_minutes_to_hospital,hospital_confidence_pct,hospital_error,hospital_in_city,hospital_in_city_or_nearby,hospital_nearest_latitude,hospital_nearest_longitude,hospital_nearest_name,hospital_reasoning,nearest_hospital_km
Villach,AT,46.61028,13.85583,58882,491.0,1610.9,open_elevation,0.85,geonames,0.0,90,,KLU,LOWK,46.642502,14.3377,Klagenfurt Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,43.062,1.161,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/13.855830,46.610280;14.337700,46.642502?overview=false&annotations=duration,distance&alternatives=false",38.5,3.5,95,,yes,yes,46.6156342,13.8575407,Landeskrankenhaus Villach,OSM hospital within 3.0 km of centroid (nearest 0.61 km),0.61
Dornbirn,AT,47.41427,9.74195,49278,434.0,1423.9,opentopo,0.9,geonames,0.0,90,,ACH,LSZR,47.485001,9.56077,Sankt Gallen Altenrhein Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,20.715,1.717,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/9.741950,47.414270;9.560770,47.485001?overview=false&annotations=duration,distance&alternatives=false",22.0,3.6,95,,yes,yes,47.4062965,9.7402125,Krankenhaus Dornbirn,OSM hospital within 3.0 km of centroid (nearest 0.90 km),0.9
Annecy,FR,45.90878,6.12565,49232,452.0,1482.9,open_elevation,0.85,geonames,0.0,90,,NCY,LFLP,45.928947,6.0987,Annecy Meythet airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,8.552,4.306,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/6.125650,45.908780;6.098700,45.928947?overview=false&annotations=duration,distance&alternatives=false",9.7,6.2,95,,yes,yes,45.9335465,6.1169764,Unité de Santé Affective et Sexuelle,OSM hospital within 3.0 km of centroid (nearest 2.83 km),2.83
Biella,IT,45.56304,8.05796,43030,427.0,1400.9,opentopo,0.9,geonames,0.0,90,,TRN,LIMF,45.200802,7.64963,Turin Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,80.801,2.032,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/8.057960,45.563040;7.649630,45.200802?overview=false&annotations=duration,distance&alternatives=false",71.6,4.4,95,,yes,yes,45.5728322,8.0478262,"Casa di cura ""Villa Vialarda""",OSM hospital within 3.0 km of centroid (nearest 1.34 km),1.34
Bassano del Grappa,IT,45.76656,11.72739,38224,113.0,370.7,open_elevation,0.85,geonames,0.0,90,,TSF,LIPH,45.648399,12.1944,Treviso Antonio Canova Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,56.082,1.701,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.727390,45.766560;12.194400,45.648399?overview=false&annotations=duration,distance&alternatives=false",61.5,3.1,95,,yes,yes,45.7576359,11.7376067,"Centro Socio Sanitario ""Mons. Egidio Negrin"" - ULSS 7 Pedemontana",OSM hospital within 3.0 km of centroid (nearest 1.27 km),1.27
Gap,FR,44.55858,6.07868,42715,742.0,2434.4,open_elevation,0.85,geonames,0.0,90,,GNB,LFLS,45.3629,5.32937,Grenoble Alpes Isère Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,144.75,2.316,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/6.078680,44.558580;5.329370,45.362900?overview=false&annotations=duration,distance&alternatives=false",141.3,6.2,95,,yes,yes,44.5681498,6.0691169,Centre Rhône-Azur,OSM hospital within 3.0 km of centroid (nearest 1.31 km),1.31
Kaufbeuren,AT,47.88238,10.62192,42505,676.0,2217.8,opentopo,0.9,geonames,0.0,90,,FMM,EDJA,47.988800048799995,10.2395000458,Memmingen Allgau Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,52.419,1.567,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/10.621920,47.882380;10.239500,47.988800?overview=false&annotations=duration,distance&alternatives=false",45.0,3.9,95,,yes,yes,47.8841629,10.6117504,Bezirkskrankenhaus Kaufbeuren,OSM hospital within 3.0 km of centroid (nearest 0.78 km),0.78
Merano,IT,46.66817,11.15953,41051,310.0,1017.1,open_elevation,0.85,geonames,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,30.675,1.918,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.159530,46.668170;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",28.4,4.0,95,,yes,yes,46.676957,11.1521831,Franz-Tappeiner-Krankenhaus - Ospedale Franz Tappeiner,OSM hospital within 3.0 km of centroid (nearest 1.13 km),1.13
Draguignan,FR,43.53692,6.46458,38573,192.0,629.9,opentopo,0.9,geonames,0.0,90,,TLN,LFTH,43.097301,6.14603,Toulon-Hyères Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,88.734,1.448,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/6.464580,43.536920;6.146030,43.097301?overview=false&annotations=duration,distance&alternatives=false",67.6,2.9,95,,yes,yes,43.5324126,6.4531881,Clinique Notre-Dame,OSM hospital within 3.0 km of centroid (nearest 1.05 km),1.05
Schio,IT,45.71262,11.35671,33740,202.0,662.7,open_elevation,0.85,geonames,0.0,90,,VCE,LIPZ,45.505299,12.3519,Venice Marco Polo Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,105.551,2.2,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.356710,45.712620;12.351900,45.505299?overview=false&annotations=duration,distance&alternatives=false",79.1,4.0,95,,yes,yes,45.7210652,11.3567889,Croce Rossa Italiana - Comitato Locale di Schio,OSM hospital within 3.0 km of centroid (nearest 0.94 km),0.94
Rovereto,IT,45.8904,11.04053,34152,199.0,652.9,open_elevation,0.85,geonames,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,80.99,2.011,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.040530,45.890400;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",57.0,6.1,95,,yes,yes,45.8820855,11.0417814,Ospedale Santa Maria del Carmine,OSM hospital within 3.0 km of centroid (nearest 0.93 km),0.93
Saint-Martin-d'Hères,FR,45.1787,5.76281,35528,217.0,711.9,opentopo,0.9,geonames,0.0,90,,GNB,LFLS,45.3629,5.32937,Grenoble Alpes Isère Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,54.159,1.482,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/5.762810,45.178700;5.329370,45.362900?overview=false&annotations=duration,distance&alternatives=false",44.5,4.1,95,,yes,yes,45.1850342,5.7535127,Hôpital de jour Réhabilitation,OSM hospital within 3.0 km of centroid (nearest 1.01 km),1.01
Échirolles,FR,45.14603,5.71441,33088,231.0,757.9,open_elevation,0.85,geonames,0.0,90,,GNB,LFLS,45.3629,5.32937,Grenoble Alpes Isère Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,49.429,1.356,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/5.714410,45.146030;5.329370,45.362900?overview=false&annotations=duration,distance&alternatives=false",39.5,2.8,95,,yes,yes,45.1453184,5.7066865,Hôpital de Jour Adultes Cassiopée,OSM hospital within 3.0 km of centroid (nearest 0.61 km),0.61
Belluno,IT,46.14262,12.2156,25064,397.0,1302.5,opentopo,0.9,geonames,0.0,90,,VCE,LIPZ,45.505299,12.3519,Venice Marco Polo Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,97.17,1.713,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/12.215600,46.142620;12.351900,45.505299?overview=false&annotations=duration,distance&alternatives=false",69.5,2.9,95,,yes,yes,46.1386377,12.2008393,obitorio,OSM hospital within 3.0 km of centroid (nearest 1.22 km),1.22
Aosta,IT,45.73764,7.31722,35261,586.0,1922.6,open_elevation,0.85,geonames,0.0,90,,TRN,LIMF,45.200802,7.64963,Turin Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,111.453,2.821,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/7.317220,45.737640;7.649630,45.200802?overview=false&annotations=duration,distance&alternatives=false",88.6,6.4,95,,yes,yes,45.7429946,7.3412084,Ospedale Beauregard,OSM hospital within 3.0 km of centroid (nearest 1.95 km),1.95
Hötting,AT,47.26815,11.36868,35043,660.0,2165.4,opentopo,0.9,geonames,0.0,90,,INN,LOWI,47.260201,11.344,Innsbruck Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,2.903,3.368,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.368680,47.268150;11.344000,47.260201?overview=false&annotations=duration,distance&alternatives=false",5.6,7.5,95,,yes,yes,47.26208,11.3866339,Universitätsklinik Innsbruck,OSM hospital within 3.0 km of centroid (nearest 1.51 km),1.51
Gorizia,IT,45.94088,13.62167,34428,85.0,278.9,open_elevation,0.85,geonames,0.0,90,,TRS,LIPQ,45.827499,13.4722,Trieste–Friuli Venezia Giulia Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,29.839,1.897,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/13.621670,45.940880;13.472200,45.827499?overview=false&annotations=duration,distance&alternatives=false",26.9,4.0,95,,yes,yes,45.9357301,13.604934,Ospedale San Giovanni di Dio,OSM hospital within 3.0 km of centroid (nearest 1.42 km),1.42
Merano - Meran,IT,46.6713536,11.1646348,33656,344.0,1128.6,open_elevation,0.85,osm,0.0,90,,BZO,LIPB,46.460201,11.3264,Bolzano Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,34.399,4.838,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.164635,46.671354;11.326400,46.460201?overview=false&annotations=duration,distance&alternatives=false",34.8,9.1,95,,yes,yes,46.676957,11.1521831,Franz-Tappeiner-Krankenhaus - Ospedale Franz Tappeiner,OSM hospital within 3.0 km of centroid (nearest 1.14 km),1.14
Pinerolo,IT,44.88534,7.33135,30866,380.0,1246.7,opentopo,0.9,geonames,0.0,90,,TRN,LIMF,45.200802,7.64963,Turin Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,63.101,1.296,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/7.331350,44.885340;7.649630,45.200802?overview=false&annotations=duration,distance&alternatives=false",51.1,2.6,95,,yes,yes,44.8823821,7.3203982,DEA Pronto Soccorso,OSM hospital within 3.0 km of centroid (nearest 0.92 km),0.92
Feldkirch,AT,47.23306,9.6,33420,465.0,1525.6,open_elevation,0.85,geonames,0.0,90,,ACH,LSZR,47.485001,9.56077,Sankt Gallen Altenrhein Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,39.836,2.639,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/9.600000,47.233060;9.560770,47.485001?overview=false&annotations=duration,distance&alternatives=false",31.8,5.9,95,,yes,yes,47.2208372,9.6041706,Krankenhaus Maria Ebene,OSM hospital within 3.0 km of centroid (nearest 1.40 km),1.4
Pradl,AT,47.26539,11.4152,32588,591.0,1939.0,opentopo,0.9,geonames,0.0,90,,INN,LOWI,47.260201,11.344,Innsbruck Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,11.182,2.111,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.415200,47.265390;11.344000,47.260201?overview=false&annotations=duration,distance&alternatives=false",10.6,4.2,95,,yes,yes,47.2793504,11.4065587,Sanatorium Kettenbrücke,OSM hospital within 3.0 km of centroid (nearest 1.68 km),1.68
Aix-les-Bains,FR,45.69173,5.90863,27651,249.0,816.9,open_elevation,0.85,geonames,0.0,90,,CMF,LFLB,45.6381,5.88023,Chambéry Aix les Bains airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,11.265,1.138,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/5.908630,45.691730;5.880230,45.638100?overview=false&annotations=duration,distance&alternatives=false",20.7,2.8,95,,yes,yes,45.697343,5.9052881,Centre hospitalier Métropole Savoie (site d'Aix-les-Bains),OSM hospital within 3.0 km of centroid (nearest 0.68 km),0.68
Thonon-les-Bains,FR,46.37049,6.47985,31684,445.0,1460.0,opentopo,0.9,geonames,0.0,90,,NCY,LFLP,45.928947,6.0987,Annecy Meythet airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,74.432,2.695,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/6.479850,46.370490;6.098700,45.928947?overview=false&annotations=duration,distance&alternatives=false",66.3,5.2,95,,yes,yes,46.3823437,6.5048598,Centre d'Accueil Thrapeutique temps partiel,OSM hospital within 3.0 km of centroid (nearest 2.33 km),2.33
Verbania,IT,45.92136,8.55183,31070,208.0,682.4,open_elevation,0.85,geonames,0.0,90,,MXP,LIMC,45.6306,8.72811,Milan Malpensa International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,74.632,1.054,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/8.551830,45.921360;8.728110,45.630600?overview=false&annotations=duration,distance&alternatives=false",69.4,1.9,95,,yes,yes,45.9257896,8.5487406,Presidio ospedalieri G. Castelli,OSM hospital within 3.0 km of centroid (nearest 0.55 km),0.55
Aosta - Aoste,IT,45.7370885,7.3196649,30000,583.0,1912.7,,,osm,0.0,90,,TRN,LIMF,45.200802,7.64963,Turin Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,111.234,2.603,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/7.319665,45.737088;7.649630,45.200802?overview=false&annotations=duration,distance&alternatives=false",88.0,5.8,95,,yes,yes,45.7429946,7.3412084,Ospedale Beauregard,OSM hospital within 3.0 km of centroid (nearest 1.80 km),1.8
Bregenz,AT,47.50311,9.7471,29806,407.0,1335.3,open_elevation,0.85,geonames,0.0,90,,ACH,LSZR,47.485001,9.56077,Sankt Gallen Altenrhein Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,21.698,2.327,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/9.747100,47.503110;9.560770,47.485001?overview=false&annotations=duration,distance&alternatives=false",27.1,6.6,95,,yes,yes,47.4971598,9.7457525,Landeskrankenhaus Bregenz,OSM hospital within 3.0 km of centroid (nearest 0.67 km),0.67
Pallanza-Intra-Suna,IT,45.93778,8.57088,28911,213.0,698.8,open_elevation,0.85,geonames,0.0,90,,MXP,LIMC,45.6306,8.72811,Milan Malpensa International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,76.894,4.05,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/8.570880,45.937780;8.728110,45.630600?overview=false&annotations=duration,distance&alternatives=false",72.5,6.7,95,,yes,yes,45.9257896,8.5487406,Presidio ospedalieri G. Castelli,OSM hospital within 3.0 km of centroid (nearest 2.17 km),2.17
Annemasse,FR,46.19439,6.23775,28275,447.0,1466.5,opentopo,0.9,geonames,0.0,90,,NCY,LFLP,45.928947,6.0987,Annecy Meythet airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,50.301,3.01,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/6.237750,46.194390;6.098700,45.928947?overview=false&annotations=duration,distance&alternatives=false",36.2,6.1,95,,yes,yes,46.1807458,6.2482031,Hôpital de Jour Joseph Daquin,OSM hospital within 3.0 km of centroid (nearest 1.72 km),1.72
Vittorio Veneto,IT,45.98026,12.30065,24789,128.0,419.9,open_elevation,0.85,geonames,0.0,90,,VCE,LIPZ,45.505299,12.3519,Venice Marco Polo Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,63.188,2.138,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/12.300650,45.980260;12.351900,45.505299?overview=false&annotations=duration,distance&alternatives=false",45.5,4.0,95,,yes,yes,45.9872338,12.318724,Pronto Soccorso Ospedale Vittorio Veneto,OSM hospital within 3.0 km of centroid (nearest 1.60 km),1.6
Klosterneuburg,AT,48.30521,16.32522,15614,194.0,636.5,opentopo,0.9,geonames,0.0,90,,VIE,LOWW,48.110298,16.5697,Vienna International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,34.319,0.492,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/16.325220,48.305210;16.569700,48.110298?overview=false&annotations=duration,distance&alternatives=false",40.0,1.5,95,,yes,yes,48.3078057,16.3237285,Landesklinikum Klosterneuburg,OSM hospital within 3.0 km of centroid (nearest 0.31 km),0.31
Baden,AT,48.00543,16.23264,26286,231.0,757.9,open_elevation,0.85,geonames,0.0,90,,VIE,LOWW,48.110298,16.5697,Vienna International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,45.304,2.241,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/16.232640,48.005430;16.569700,48.110298?overview=false&annotations=duration,distance&alternatives=false",43.2,3.9,95,,yes,yes,48.0003076,16.2549826,Landesklinikum Baden,OSM hospital within 3.0 km of centroid (nearest 1.76 km),1.76
Valdagno,IT,45.64498,11.29886,22555,270.0,885.8,open_elevation,0.85,geonames,0.0,90,,VRN,LIPX,45.394955,10.887303,Verona Villafranca Valerio Catullo Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,76.198,0.954,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.298860,45.644980;10.887303,45.394955?overview=false&annotations=duration,distance&alternatives=false",68.9,2.4,95,,yes,yes,45.6469383,11.3075042,Ospedale San Lorenzo,OSM hospital within 3.0 km of centroid (nearest 0.71 km),0.71
Garmisch-Partenkirchen,AT,47.49209,11.09576,26022,698.0,2290.0,opentopo,0.9,geonames,0.0,90,,INN,LOWI,47.260201,11.344,Innsbruck Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,50.716,0.991,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.095760,47.492090;11.344000,47.260201?overview=false&annotations=duration,distance&alternatives=false",48.9,2.2,95,,yes,yes,47.4871299,11.1026021,Deutsches Zentrum für Kinder- und Jugendrheumatologie,OSM hospital within 3.0 km of centroid (nearest 0.75 km),0.75
Geretsried,AT,47.85775,11.48054,23364,608.0,1994.8,open_elevation,0.85,geonames,0.0,90,,MUC,EDDM,48.353802,11.7861,Munich Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,87.343,8.118,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/11.480540,47.857750;11.786100,48.353802?overview=false&annotations=duration,distance&alternatives=false",64.8,10.5,80,,no,yes,47.9118247,11.4284621,Kreisklinik Wolfratshausen,No OSM hospital within 3.0 km of centroid; nearest 7.16 km,7.16
Leoben,AT,47.3765,15.09144,8264,544.0,1784.8,opentopo,0.9,geonames,0.0,90,,GRZ,LOWG,46.9911,15.4396,Graz Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,95,,72.5,1.271,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/15.091440,47.376500;15.439600,46.991100?overview=false&annotations=duration,distance&alternatives=false",56.4,2.7,95,,yes,yes,47.3803169,15.0849985,Landeskrankenhaus Hochsteiermark - Standort Leoben,OSM hospital within 3.0 km of centroid (nearest 0.64 km),0.64
